Name,Start,End,Duration
Preprocess KERN,1660418230.8086274,1660418231.0663896,0.25776219367980957
Cleaning SYS's data,1660418231.0665252,1660418231.0666425,0.00011730194091796875
Creating the corpus,1660418231.0667164,1660418234.4043257,3.33760929107666
Creating CountVectorizer_1,1660418234.4044766,1660418237.0788922,2.6744155883789062
Applying CountVectorizer_1,1660418242.7223833,1660418245.3717387,2.649355411529541
Creating TfidfVectorizer_1,1660418237.0789118,1660418239.752289,2.673377275466919
Applying TfidfVectorizer_1,1660418245.3717406,1660418248.4762847,3.104544162750244
Creating HashingVectorizer_1,1660418239.7522893,1660418239.752337,4.76837158203125e-05
Applying HashingVectorizer_1,1660418239.7530265,1660418242.7223814,2.9693548679351807
Preprocess SYS,1660418231.066506,1660418248.4807537,17.414247751235962
Preprocess RES,1660418248.4810293,1660418248.748034,0.26700472831726074
Training Classification LogisticRegression with feature KERN,1660418249.6037602,1660418317.0039554,67.40019512176514
Testing Classification LogisticRegression with feature KERN,1660418317.0041611,1660418317.0051758,0.00101470947265625
Training Classification DecisionTreeClassifier with feature KERN,1660418317.0878792,1660418317.5010688,0.4131896495819092
Testing Classification DecisionTreeClassifier with feature KERN,1660418317.5016503,1660418317.502558,0.0009076595306396484
Training Classification SVC with feature KERN,1660418317.5494041,1660418319.7948282,2.2454240322113037
Testing Classification SVC with feature KERN,1660418319.7974374,1660418320.5774302,0.7799928188323975
Training Classification RandomForestClassifier with feature KERN,1660418320.6187906,1660418322.5907075,1.971916913986206
Testing Classification RandomForestClassifier with feature KERN,1660418322.6186066,1660418322.6672754,0.048668861389160156
Training Classification LogisticRegression with feature HashingVectorizer_1,1660418322.7670233,1660418323.1765077,0.4094843864440918
Testing Classification LogisticRegression with feature HashingVectorizer_1,1660418323.1767242,1660418323.1769252,0.0002009868621826172
Training Classification DecisionTreeClassifier with feature HashingVectorizer_1,1660418323.1828256,1660418323.1848428,0.0020172595977783203
Testing Classification DecisionTreeClassifier with feature HashingVectorizer_1,1660418323.185429,1660418323.185667,0.00023794174194335938
Training Classification SVC with feature HashingVectorizer_1,1660418323.1965826,1660418323.199187,0.0026044845581054688
Testing Classification SVC with feature HashingVectorizer_1,1660418323.2008817,1660418323.202085,0.001203298568725586
Training Classification RandomForestClassifier with feature HashingVectorizer_1,1660418323.215526,1660418323.4349,0.2193739414215088
Testing Classification RandomForestClassifier with feature HashingVectorizer_1,1660418323.4372907,1660418323.4457097,0.008419036865234375
Training Classification LogisticRegression with feature CountVectorizer_1,1660418323.4672124,1660418323.5438871,0.0766746997833252
Testing Classification LogisticRegression with feature CountVectorizer_1,1660418323.5441813,1660418323.5444117,0.00023031234741210938
Training Classification DecisionTreeClassifier with feature CountVectorizer_1,1660418323.555726,1660418323.5574524,0.001726388931274414
Testing Classification DecisionTreeClassifier with feature CountVectorizer_1,1660418323.5577974,1660418323.5585024,0.0007050037384033203
Training Classification SVC with feature CountVectorizer_1,1660418323.5706406,1660418323.5714493,0.0008087158203125
Testing Classification SVC with feature CountVectorizer_1,1660418323.5717912,1660418323.572093,0.0003018379211425781
Training Classification RandomForestClassifier with feature CountVectorizer_1,1660418323.5864162,1660418323.764706,0.17828965187072754
Testing Classification RandomForestClassifier with feature CountVectorizer_1,1660418323.7673516,1660418323.7762647,0.008913040161132812
Training Classification LogisticRegression with feature TfidfVectorizer_1,1660418323.7965777,1660418323.8802986,0.08372092247009277
Testing Classification LogisticRegression with feature TfidfVectorizer_1,1660418323.8805215,1660418323.880699,0.0001773834228515625
